name,Address,sale_price_range,en_bloc_prob
Devonshire 8,"8 Irrawaddy Road, singapore 329564","S$ 850,000
  -
  S$ 4,350,000",null
Devonshire Residences,"3 Tay Lian Teck Road, singapore 455620",null,<20%
Diamond Tower,"109C Dorset Road, singapore 219497",null,null
Domus,"331 New Bridge Road, singapore 088764","S$ 1,238,000
  -
  S$ 2,508,000",<20%
Dong Xing Court,"19B Simei Street 4, singapore 528714","S$ 699,000
  -
  S$ 3,550,000",>80%
Dorset Court,"14 18 Spottiswoode Park Road, singapore 088641",null,null
Dorsett Residences,"34 Jalan Mutiara, singapore 249209",null,60%-79%
Double Bay Residences,"50 Draycott Park, singapore 259396",null,<20%
Dragon Mansion,"8 Joo Chiat Lane, singapore 428094",null,null
Dragon View Park,"13 - 13D Dublin Road, singapore 239802",null,null
Draycott Tower,"20 Duchess Road, singapore 268988","S$ 6,000,000
  -
  S$ 6,000,000",null
Dublin Road Flats,"32 Duchess Avenue, singapore 269105","S$ 4,000,000
  -
  S$ 4,000,000",null
Duchess Manor,"6 Duchess Avenue, singapore 266311",null,20%-39%
Duchess Royale,"78 Holland Road, singapore 258873","S$ 4,500,000
  -
  S$ 4,750,000",<20%
Duchess Walk,"25 Duke'S Road, singapore 268906","S$ 4,200,000
  -
  S$ 4,200,000",null
Duet,"75 Duku Road, singapore 429237",null,20%-39%
Dukes Residences,"71 Duku Road, singapore 429233","S$ 4,280,000
  -
  S$ 4,280,000",null
Duku Apartments,"386 Dunearn Road, singapore 289599","S$ 1,050,000
  -
  S$ 2,600,000",null
Duku Court,"386 Dunearn Road, singapore 289599",null,>80%
Dunearn 386,"16 Dunearn Road, singapore 309420",null,null
Dunearn Court,"404 Dunearn Road, singapore 289609","S$ 1,500,000
  -
  S$ 1,500,000",>80%
Dunearn Gardens,"515 Dunman Road, singapore 439204","S$ 2,200,000
  -
  S$ 2,200,000",>80%
Dunearn Suites,"515 Dunman Road, singapore 439204","S$ 2,200,000
  -
  S$ 2,200,000",20%-39%
Dunman Place,"348 Dunman Road, singapore 329778","S$ 1,398,000
  -
  S$ 1,500,000",40%-59%
Dunman Place,"5 Lorong 39 Geylang, singapore 387866","S$ 850,000
  -
  S$ 950,000",40%-59%
Dunman Regency,"271 - 291 Sixth Avenue, singapore 276562",null,<20%
Dynasty Garden Court 2,"265-265B Sixth Avenue, singapore 276559",null,null
Dynasty Lodge,"12 Robey Crescent, singapore 546290",null,>80%
East Bay Gardens,"87 Lorong G Telok Kurau, singapore 426277","S$ 1,499,999
  -
  S$ 1,499,999",60%-79%
East Coast Residences,"412 Upper East Coast Road, singapore 466488","S$ 899,999
  -
  S$ 1,420,000",<20%
East Coast Ville,"320 Upper East Coast, singapore 466455",null,null
East Grove,"414A East Coast Road, singapore 429002",null,>80%
East Mews,"853 Mountbatten Road, singapore 437838",null,20%-39%
East Palm,"1 Palm Road, singapore 456448",null,40%-59%
East Signature,"1A Elliot Walk, singapore 458656",null,40%-59%
East Signature,"1A Elliot Walk, singapore 458656",null,40%-59%
East Treasure,"36 Telok Kurau Lorong N, singapore 425160",null,40%-59%
East Village,"430 Upper Changi Road, singapore 487048","S$ 688,000
  -
  S$ 1,800,000",20%-39%
East Ville,"43 Joo Chiat Lane, singapore 428103","S$ 1,600,000
  -
  S$ 1,600,000",null
Eastbay,"1 Tay Lian Teck Road, singapore 455615","S$ 1,400,000
  -
  S$ 1,900,000",20%-39%
Eastern Lodge,"380 Sims Avenue, singapore 387531",null,null
Eastern Residence,"285 Joo Chiat Place, singapore 427966",null,40%-59%
Eastside Loft,"150 Tanjong Katong Road, singapore 437154",null,40%-59%
Eastwind Mansions,"102 Joo Chiat Terrace, singapore 427256",null,>80%
Eastwood Regency,"40 Eastwood Road, singapore 486397","S$ 670,000
  -
  S$ 890,000",20%-39%
Eber Gardens,"1 - 15 Eber Road, singapore 239756",null,60%-79%
Ebony Mansions,"30 Lorong M Telok Kurau, singapore 425312","S$ 980,000
  -
  S$ 980,000",60%-79%
Echelon,"7 Alexandra View, singapore 158741","S$ 940,000
  -
  S$ 6,500,000",<20%
eCO,"263 Bedok South Avenue 3, singapore 465263","S$ 728,000
  -
  S$ 5,200,000",<20%
Eco Sanctuary,"61 Chestnut Avenue, singapore 679522",null,<20%
Eden Crest,"14 Eden Grove, singapore 539068",null,40%-59%
Eden Residences Capitol,"11 Stamford Road, singapore 178884","S$ 5,688,000
  -
  S$ 26,742,450",<20%
Eden Spring,"11c Balmoal Road, singapore 259798",null,null
Eden View,"6 Eden Grove, singapore 539057",null,20%-39%
Edenvale,"372 Pasir Panjang Road, singapore 118709",null,null
Eight Courtyards,"12 Canberra Drive, singapore 768094","S$ 610,000
  -
  S$ 1,360,000",<20%
Eight Riversuites,"2 Whampoa East, singapore 338517","S$ 738,000
  -
  S$ 2,980,000",<20%
Eight@18Fort,"18 Fort Road, singapore 439107",null,null
EiS Residences,"4 Haig Avenue, singapore 438859","S$ 700,000
  -
  S$ 1,200,000",<20%
Elizabeth Heights,"57 Cairnhill Road, singapore 229668","S$ 5,500,000
  -
  S$ 5,900,000",>80%
Elizabeth Regency,"22 Mount Elizabeth, singapore 228517",null,null
Elizabeth Tower,"12 Mount Elizabeth, singapore 228511",null,>80%
Elliot at the East Coast,"1 Elliot Road, singapore 458686","S$ 3,500,000
  -
  S$ 3,500,000",<20%
Elmira Heights,"5 7 Newton Road, singapore 307944",null,null
Emerald Garden,"33 Club Street, singapore 069415","S$ 2,080,000
  -
  S$ 3,318,000",40%-59%
Emprado Suites,"93 Lorong N Telok Kurau, singapore 425244",null,20%-39%
En Fu Mansions,"25 Lorong 33 Geylang, singapore 387985",null,null
Eng Kong Green,"51 Eng Kong Terrace, singapore 599043","S$ 1,330,000
  -
  S$ 1,330,000",null
Envio,"281 Joo Chiat Place, singapore 427962","S$ 900,000
  -
  S$ 2,300,000",20%-39%
Eon Shenton,"70 Shenton Way, singapore 079118","S$ 1,200,000
  -
  S$ 2,980,000",null
Equity Heights,"3 Mount Sophia Road, singapore 228450",null,null
Espa,"10 Cashew Road, singapore 679392","S$ 1,400,000
  -
  S$ 3,000,000",null
Espada,"48 Saint Thomas Walk, singapore 238126","S$ 938,800
  -
  S$ 3,088,888",<20%
Espira Suites,"99A Lorong H Telok Kurau, singapore 426121","S$ 1,388,000
  -
  S$ 1,388,000",20%-39%
Esta Ruby,"500 Guillimard Road, singapore 399839","S$ 1,950,000
  -
  S$ 1,950,000",<20%
Esterina,"12 Haig Avenue, singapore 438867",null,20%-39%
Eton Court,"47 Lorong N Telok Kurau, singapore 425171",null,40%-59%
Euhabitat,"332 Jalan Eunos, singapore 415816","S$ 660,000
  -
  S$ 4,500,000",<20%
Eunos Green,"10 Sims Avenue East, singapore 416558",null,60%-79%
Eunos Park,"5 Kampong Eunos, singapore 417771",null,60%-79%
Eunos Park,"5 Kampong Eunos, singapore 417771",null,60%-79%
Euro-Asia Park,"25 Woodleigh Close, singapore 357920",null,60%-79%
Evergreen Residences,"43 Lor 22 Geylang, singapore 398698",null,null
Evergreen View,"15 Lorong 36 Geylang, singapore 398150",null,20%-39%
Everitt Edge,"83 Joo Chiat Place, singapore 427800","S$ 780,000
  -
  S$ 1,150,000",<20%
Everitt Green,"9 Everitt Road North, singapore 428522",null,40%-59%
Evian Condominium,"277 Holland Road, singapore 278619",null,null
Ewe Boon Regent,"31 Ewe Boon Road, singapore 259332","S$ 1,700,000
  -
  S$ 1,700,000",60%-79%
Faber Garden Condominium,"9 Jalan Rebana, singapore 576988",null,>80%
Fairlodge,"108 Holland Road, singapore 278551",null,60%-79%
Fairmount Condo,"30 Eastwood Road, singapore 486365","S$ 1,650,000
  -
  S$ 1,650,000",null
Fairways,"610 Telok Blangah Road, singapore 109025",null,null
Fairwood Park,"7 Wajek Walk, singapore 588089",null,null
Familie Mansions,"65 Lorong 8 Geylang, singapore 399125",null,>80%
Farrer Park Suites,"80 Owen Road, singapore 218896","S$ 888,000
  -
  S$ 888,000",20%-39%
Fernhill Court Condo,"60 Fernhill Road, singapore 259117",null,null
Fernhill Grove,"27C Fernhill Road, singapore 259089",null,null
Fernhill Place,"5 Fernhill Road, singapore 259051",null,null
Ferra,"1 Leonie Hill, singapore 239219",null,null
Ferraria Park Condo,"8 Flora Drive, singapore 506941","S$ 730,000
  -
  S$ 2,100,000",null
Ferrell Residences,"327 Bukit Timah Road, singapore 259715","S$ 2,600,000
  -
  S$ 3,800,000",20%-39%
Fifteen Robin,"15 Robin Road, singapore 258196",null,null
Fifth Avenue Condo,"2 Fifth Avenue, singapore 268800",null,null
Fifth Avenue Condominium,"2 Fifth Avenue, singapore 268800",null,60%-79%
Finland Gardens,"54 East Coast Terrace, singapore 458949",null,>80%
Fiorenza,"42 Florence Road, singapore 549576","S$ 1,149,999
  -
  S$ 1,190,000",20%-39%
Five Nine,"59 Lor K Teluk Kurau, singapore 425669",null,null
Flamingo Valley,"478 Siglap Road, singapore 454852","S$ 858,000
  -
  S$ 3,880,000",<20%
FLO Residence,"0 Punggol Field Walk, singapore 820000","S$ 850,000
  -
  S$ 1,900,000",<20%
Flora East,"233 - 245C Joo Chiat Place, singapore 427928","S$ 1,738,888
  -
  S$ 1,738,888",>80%
Floridian,"977 Bukit Timah Road, singapore 589626","S$ 1,930,000
  -
  S$ 5,300,000",<20%
Florissa Park,"31 Lentor loop, singapore 789088",null,null
Flynn Park,"18 Yew Siang Road, singapore 117755",null,>80%
Foh Pin Mansion,"7 Charlton Road, singapore 539557",null,null
Fontaine Parry,"0 Poh Huat Road West, singapore 540000","S$ 1,328,000
  -
  S$ 2,500,000",<20%
Fontana Heights,"39 Mount Sinai Road, singapore 276957","S$ 7,900,000
  -
  S$ 8,800,000",>80%
Foresque Residences,"101 Petir Road, singapore 678272","S$ 658,000
  -
  S$ 2,358,888",<20%
Forest Hills Condo,"31 Transit Road, singapore 778893","S$ 1,088,888
  -
  S$ 1,700,000",null
Forest Woods,", singapore 533852",null,null
Forett at Bukit Timah,"32 Toh Tuck Road, singapore 596710","S$ 800,000
  -
  S$ 4,046,000",null
Fort Gardens,"21 Fort Road, singapore 439089","S$ 2,500,000
  -
  S$ 2,500,000",60%-79%
Forte Suites,"88 Mergui Road, singapore 219062","S$ 980,000
  -
  S$ 1,680,000",<20%
Fortune Spring,"7 Palm Road, singapore 456442",null,40%-59%
Fortville,"19 Fort Road, singapore 439088",null,null
Fourth Avenue Residences,"2 Fourth Avenue, singapore 268660","S$ 944,000
  -
  S$ 4,596,000",null
Fragrance Court,"12 Yew Siang Road, singapore 117752",null,60%-79%
Fragrant Gardens,"357 Upper Paya Lebar Road, singapore 534959",null,>80%
Fruition,"3 Mangis Road, singapore 424981",null,20%-39%
Fulcrum,"33 Fort Road, singapore 439092","S$ 920,000
  -
  S$ 2,400,000",<20%
Fyve Derbyshire,"5 Derbyshire Road, singapore 309461","S$ 1,338,000
  -
  S$ 2,553,870",null
G Residences,"50 Lorong G Telok Kurau, singapore 426233",null,<20%
Gaia,"33 Jalan Dusun, singapore 329371","S$ 1,400,000
  -
  S$ 1,400,000",<20%
Gallery Fifteen,"31 Jalan Dusun, singapore 329370","S$ 3,100,000
  -
  S$ 3,100,000",40%-59%
Gallop Green,"13 Woollerton Park, singapore 257534",null,40%-59%
Gambir Ridge (Formerly Bartley Terrace,"16 Gambir Walk, singapore 538976","S$ 888,000
  -
  S$ 1,999,999",null
Gardenia Court,"38 Jalan Mata Ayer, singapore 759121",null,null
Gardenville,"10 Walshe Road, singapore 257654","S$ 4,388,000
  -
  S$ 4,388,000",60%-79%
Garlick Park,"108 Sixth Avenue, singapore 276501",null,null
Gem Residences,"1 Lorong 5 Toa Payoh, singapore 319458",null,null
Gentle Reflections,"41 Gentle Road, singapore 309159",null,null
Geylang Heritage,"26 Lorong 34 Geylang, singapore 398223",null,60%-79%
Gideon's Lodge,"47B Joo Chiat Lane, singapore 428105",null,>80%
Giffard Mansions,"424 Balestier Road, singapore 329810","S$ 1,799,999
  -
  S$ 1,799,999",>80%
Gilstead Court,"50 Gilstead Road, singapore 309094","S$ 2,850,000
  -
  S$ 3,100,000",>80%
Gilstead Mansion,"57 Gilstead Road, singapore 309101",null,>80%
Glasgow Green,"16 Leith Road, singapore 547921",null,null
Glasgow Residences,"23 Glasgow Road, singapore 549338","S$ 600,000
  -
  S$ 1,650,000",null
Global Ville,"20 Jalan Raja Udang, singapore 329192","S$ 1,800,000
  -
  S$ 1,800,000",40%-59%
Gloria Mansion,"292 Pasir Panjang Road, singapore 118633",null,>80%
Gloucester Mansions,"10 Newton Road, singapore 307947",null,60%-79%
Gold Coast Condo,"360 Pasir Panjang Road, singapore 118699","S$ 1,990,000
  -
  S$ 2,500,000",null
Goldenhill Park Condo,"60 Mei Hwan Drive, singapore 568426","S$ 1,900,000
  -
  S$ 1,900,000",null
Goldleaf Gardens,"1 Kurau Terrace, singapore 426803",null,null
Goodrich Park,"2 2A - 2D Simon Lane, singapore 546020",null,null
Goodwood Residence,"261 Bukit Timah Road, singapore 259703","S$ 2,500,000
  -
  S$ 28,600,000",<20%
Grace Court,"7 Woo Mon Chew Road, singapore 455059",null,null
Gramercy Park,"57 Grange Road, singapore 249569","S$ 4,700,000
  -
  S$ 9,500,000",<20%
Grand Chateau,"2 Jalan Rajawali, singapore 598435",null,60%-79%
Grand Regency,"9 Jalan Rajawali, singapore 598431",null,60%-79%
Grandeur Park Residences,"1 Bedok South Avenue 3, singapore 465461","S$ 750,000
  -
  S$ 2,480,000",null
Grange 1866,"74 Grange Rd, singapore 249578","S$ 1,437,000
  -
  S$ 2,373,000",null
Grange 70,"70 Grange Road, singapore 249574",null,60%-79%
Grange 80,"80 Grange Road, singapore 249585",null,null
Grange Garden,"21A Grange Garden, singapore 249646",null,null
Grange Infinite,"27 Grange Road, singapore 239700","S$ 5,210,000
  -
  S$ 7,173,600",<20%
Green Hill Estate,"1 Jalan Emas Urai, singapore 678701",null,null
Green Meadows,"193 Tagore Avenue, singapore 787768",null,null
Greenacres,"14 West Coast Road, singapore 127298",null,null
Guilin Court,"10 Geylang Lorong 26, singapore 398485","S$ 1,380,000
  -
  S$ 1,380,000",60%-79%
Guillemard Edge,"38 Lorong 30 Geylang, singapore 398371","S$ 647,000
  -
  S$ 1,500,000",<20%
H Residences,"50A Lorong H Telok Kurau, singapore 426049","S$ 730,000
  -
  S$ 750,000",null
H2O Residences,"30 Fernvale Link, singapore 797530","S$ 699,000
  -
  S$ 1,570,000",<20%
Haig 162,"162 Haig Road, singapore 438773","S$ 648,000
  -
  S$ 1,330,000",<20%
Haig Residences,"163 Haig Road, singapore 438774","S$ 725,000
  -
  S$ 1,250,000",20%-39%
Hallmark Residences,"17 Ewe Boon Road, singapore 259325","S$ 2,600,000
  -
  S$ 5,500,000",<20%
Harbour Suites @ Kampong Bahru,"522 KAMPONG BAHRU ROAD, singapore 099454","S$ 885,000
  -
  S$ 1,870,000",null
Harbourside Apartments,"552 Kampong Bahru Roa, singapore 099454",null,null
Harmony Mansion,"32 DUKU ROAD, singapore 429190",null,null
Haus On Handy,"28 Handy Road, singapore 229240","S$ 1,078,800
  -
  S$ 3,069,000",null
Hedges Park Condominium,"71 Flora Drive, singapore 506881","S$ 608,000
  -
  S$ 1,790,000",<20%
Heritage Apartments,"4 Ardmore Park, singapore 259960",null,null
High Park Residences,"27 Fernvale Road, singapore 797415","S$ 640,000
  -
  S$ 2,680,000",null
Highland Condominium,"91B Highland Road, singapore 549170",null,>80%
Highline Residences,"7 Kim Tian Road, singapore 168592","S$ 1,080,000
  -
  S$ 2,900,888",null
Hillcourt,"39 38, 40 Cairnhill Road, singapore 229659",null,null
Hillside Mansions,"24 - 26 Hillside Drive, singapore 548943",null,>80%
Hillsta,"70 Phoenix Road, singapore 667973","S$ 650,000
  -
  S$ 2,999,000",<20%
Hilltops,"99 Cairnhill Circle, singapore 229808","S$ 2,550,000
  -
  S$ 17,971,000",<20%
Hillview Court,"126 Jalan Dermawan, singapore 669074",null,null
Hillview Park,"19A Hillview Avenue, singapore 669554",null,60%-79%
Hillvista,"1 Elizabeth Drive, singapore 669743",null,<20%
Hin Seng Garden,"41 West Coast Way, singapore 127010",null,null
Holland Crest,"19 21 Holland Hill, singapore 278736",null,null
Holland Gems,"1 Taman Nakhoda, singapore 257742",null,null
Holland Hill Park,"7 Holland Hill, singapore 278731",null,>80%
Holland Mansion,"112 Holland Road, singapore 278555",null,null
Holland Residences,"1 Taman Warna, singapore 276337","S$ 2,200,000
  -
  S$ 2,900,000",<20%
Holland Suites,"129 Holland Road, singapore 278568","S$ 2,300,000
  -
  S$ 2,300,000",60%-79%
Holland Tower,"10 Holland Heights, singapore 249510",null,>80%
Holland View,"621 Queensway, singapore 276747",null,null
Hong Leong Garden Condo,"74 West Coast Terrace, singapore 127267",null,null
Horizon Residences,"41 Pasir Panjang Hill, singapore 118862","S$ 1,900,000
  -
  S$ 2,800,000",<20%
Hua Xin Court,"23A Nallur Road, singapore 456644",null,>80%
Hullet Rise,"6 Hullet Road, singapore 229159",null,null
Hume Park I,"1 Hume Avenue, singapore 598718",null,null
Hundred Trees,"81 West Coast Drive, singapore 127997","S$ 1,720,000
  -
  S$ 2,500,000",<20%
Hyll on Holland,"89 Holland Road, singapore 275750",null,null
Idyllic East,"576 Upper East Coast Road, singapore 466588","S$ 2,600,000
  -
  S$ 2,600,000",20%-39%
Idyllic Residences,"52 Lor M Telok Kurau, singapore 423546",null,20%-39%
Idyllic Suites,"21 Lorong 30 Geylang, singapore 398353","S$ 850,000
  -
  S$ 850,000",<20%
Ikigai,"38 Shrewsbury Road, singapore 307818","S$ 1,000,000
  -
  S$ 3,536,000",null
Infini at East Coast,"363 East Coast Road, singapore 428978","S$ 1,448,000
  -
  S$ 2,688,000",null
Inova 100,"100 Lorong N Telok Kurau, singapore 425252",null,20%-39%
Institution Ville,"11 Institution Hill, singapore 239666",null,null
iNz Residence,"60 Choa Chu Kang Avenue 5, singapore 688191","S$ 1,768,000
  -
  S$ 1,768,000",null
iResidences,"20 Irrawaddy Road, singapore 329550","S$ 1,599,999
  -
  S$ 1,600,000",<20%
Irwell Hill Residences,"2 Irwell Hill, singapore 239588","S$ 899,899
  -
  S$ 10,943,000",null
iSuites @ Palm,"24 GLASGOW ROAD, singapore 549340","S$ 638,000
  -
  S$ 1,400,000",<20%
J Gateway,", singapore 461111","S$ 880,000
  -
  S$ 3,200,000",<20%
Jade Mansion,"10 Leedon Road, singapore 267833",null,>80%
Jade Towers,"2 Lew Lian Vale, singapore 537013",null,null
JadeScape,"314 Shunfu Road, singapore 570314","S$ 938,000
  -
  S$ 3,999,000",null
Jansen Mansion,"25 Jansen Road, singapore 548429",null,null
Jardin,"966 Dunearn Road, singapore 589488","S$ 1,700,000
  -
  S$ 3,500,000",<20%
Jasmine Court,"311 Upper Thomson Road, singapore 574409",null,null
JC Court,"150 Joo Chiat Place, singapore 427878",null,60%-79%
Jersey Lodge,"150 Lorong J Telok Kurau, singapore 423491",null,60%-79%
Jervois Gardens,"30F - 30H Jervois Close, singapore 249012",null,>80%
Jervois Mansion,"18 Jervois Road, singapore 249001",null,null
Jervois Meadows,"107 Jervois Road, singapore 249063",null,60%-79%
Jervois Prive,"100A Jervois Road, singapore 249057","S$ 1,588,800
  -
  S$ 4,480,000",null
Jervois Treasures,"31 Jervois Road, singapore 249080","S$ 1,299,800
  -
  S$ 3,004,919",null
Jewel @ Buangkok,"00 Buangkok Drive, singapore 540000","S$ 730,000
  -
  S$ 1,938,000",<20%
Jewel of Balmoral,"7C Balmoral Park, singapore 259865",null,60%-79%
Jing Suites,"275 Changi Road, singapore 419755",null,null
JJH Residences,"2A - 4B Wolskel Road , singapore 357958",null,null
Jui Residences,"1177 Serangoon Road, singapore 328231","S$ 820,000
  -
  S$ 1,650,000",null
Juniper at Ardmore,"4A Ardmore Park, singapore 259951",null,>80%
Juniper Hill (Former Crystal Tower),"39 Ewe Boon Road, singapore 259334","S$ 1,380,000
  -
  S$ 6,631,000",null
Jupiter 18,"18 Lorong 102 Changi, singapore 426608","S$ 675,000
  -
  S$ 1,300,000",<20%
Kallang Riverside,"51 Kampong Bugis, singapore 338986","S$ 1,300,000
  -
  S$ 13,000,000",null
Kandis Residence,"2 Kandis Link, singapore 756967","S$ 800,000
  -
  S$ 1,400,000",null
KAP Residences,", singapore 598285","S$ 938,000
  -
  S$ 2,300,000",<20%
Katong Regency,"15 Tanjong Katong Road, singapore 436950","S$ 1,128,000
  -
  S$ 3,700,000",<20%
Katong Towers enbloc,"114A Arthur Road, singapore 439826",null,null
Katong Ville,"86 - 88 Tanjong Katong Road, singapore 436958",null,40%-59%
Kemaman Point,", singapore 329317",null,>80%
Kemaman View,"30 Jalan Kemaman , singapore 329341",null,null
Kembangan Suites,"16 Jalan Masjid, singapore 418941","S$ 730,000
  -
  S$ 860,000",20%-39%
Keng Lee Court,"74 Keng Lee Road, singapore 219249","S$ 1,150,000
  -
  S$ 1,150,000",>80%
Kent Residences,"23 Kent Road, singapore 219219","S$ 770,000
  -
  S$ 1,300,000",20%-39%
Kent Ridge Hill Residences,"South Buona Vista Road Singapore, singapore 118171","S$ 700,000
  -
  S$ 3,300,000",null
Kentview Park,"87 Pasir Panjang Hill, singapore 118892",null,60%-79%
Kew Green,"239 Kew Crescent, singapore 466105","S$ 2,688,000
  -
  S$ 3,188,000",40%-59%
Kheam Hock Gardens,"36E Kheam Hock Road, singapore 298807",null,60%-79%
Ki Residences,"1 1 Brookvale Dr, singapore 599968","S$ 1,000,000
  -
  S$ 3,580,161",null
Killiney 118,"118 Killiney Road, singapore 239555",null,<20%
Kim Keat Gardens,"6 Kim Keat Road, singapore 328847","S$ 1,250,000
  -
  S$ 1,250,000",40%-59%
King's Court,"10 Norfolk Road, singapore 219014",null,>80%
King's Mansion,"437 Tanjong Katong Road, singapore 437147","S$ 5,200,000
  -
  S$ 5,200,000",>80%
Kingsford Hillview Peak,"105 Hillview Rise, singapore 667968","S$ 695,000
  -
  S$ 2,750,000",null
Kingsford Waterbay,"84 Upper Serangoon View, singapore 533876","S$ 635,000
  -
  S$ 2,410,000",null
Kingsgrove,"1801 Ang Mo Kio Avenue 1, singapore 569979",null,>80%
Kingston Terrace,"8B Jalan Masjid, singapore 418929",null,>80%
Kismis Court,"1 Toh Yi Road, singapore 596484",null,>80%
Klassic Court,"133 Koon Seng Road, singapore 427063",null,40%-59%
Knox View,"21 Telok Kurau Lorong M, singapore 425307",null,40%-59%
Kopar At Newton,"4 Makeway Avenue, singapore 228605",null,null
Kovan 81,"81 Kovan Road, singapore 548173",null,40%-59%
Kovan Crest,"45 Kovan Road, singapore 548130",null,60%-79%
Kovan Grandeur,"118 Tampines Road, singapore 535193","S$ 588,000
  -
  S$ 948,000",20%-39%
Kovan Lodge,"51A Kovan Road, singapore 548135",null,>80%
Kovan Regency,"38 Kovan Rise, singapore 544727","S$ 920,000
  -
  S$ 4,500,000",<20%
Kovan Residences,"5 Kovan Road, singapore 544894","S$ 1,320,000
  -
  S$ 4,700,000",<20%
L'VIV,"9L Recreation Lane, singapore 545034",null,<20%
La Belle,"50 Lorong 28 Geylang, singapore 398453","S$ 620,000
  -
  S$ 1,300,000",null
La Brisa,"160 Killiney Road, singapore 239568","S$ 1,770,000
  -
  S$ 1,770,000",<20%
La Crystal,"160 Killiney Road, singapore 239568","S$ 1,770,000
  -
  S$ 1,770,000",60%-79%
La Crystal,"343 Upper Paya Lebar Road, singapore 534954","S$ 1,980,000
  -
  S$ 1,980,000",60%-79%
La Dolce Vita,"58 Sengkang Square, singapore 544699","S$ 720,000
  -
  S$ 2,080,000",20%-39%
La Fiesta,"8 Lorong 26 Geylang, singapore 398483","S$ 620,000
  -
  S$ 818,888",<20%
La Fleur,"10 Moulmein Rise, singapore 308125",null,<20%
La Maison,"66 Meyer Road, singapore 437894",null,60%-79%
La Meyer,"10 Shrewsbury Road, singapore 307811",null,>80%
La Nouvelle,"58 Swiss View, singapore 288061",null,40%-59%
La Suisse I,"1 Swiss View, singapore 288007","S$ 2,500,000
  -
  S$ 2,500,000",null
La Suisse II,"2 - 50 Bishopwalk, singapore 249923",null,null
La Ventura,"130 Lorong K Telok Kurau, singapore 425769","S$ 800,000
  -
  S$ 800,000",null
La Vida @ 130,"6C -6D Tanjong Rhu Road, singapore 436885",null,<20%
La Ville,"44 Eastwood Road, singapore 486355","S$ 1,400,000
  -
  S$ 2,135,000",>80%
Laguna 88,"44 Eastwood Road, singapore 486355","S$ 1,400,000
  -
  S$ 2,135,000",40%-59%
Laguna 88,"8 Jurong Lake Link, singapore 648130","S$ 738,000
  -
  S$ 2,500,000",40%-59%
Lake Grande,"80 Corporation Road, singapore 649819","S$ 1,450,000
  -
  S$ 2,998,000",null
Lakeholmz,"11 Jurong Lake Link, singapore 648155","S$ 885,000
  -
  S$ 2,999,999",<20%
Lakeville,"202 Pasir Panjang Road, singapore 118572","S$ 2,358,000
  -
  S$ 2,358,000",<20%
Landridge Condo,"31 Jalan Mutiara, singapore 249206","S$ 5,200,000
  -
  S$ 5,200,000",null
Latitude,"1 Seraya Crescent, singapore 575811","S$ 1,300,000
  -
  S$ 1,838,000",<20%
Lattice One,"348 - 352 Lorong Chuan, singapore 556782",null,null
Laurel Park,"00 Hillview Terrace, singapore 669000","S$ 710,000
  -
  S$ 1,000,000",null
Laurel Tree,"66 Lorong L Telok Kurau, singapore 425509","S$ 608,888
  -
  S$ 788,000",null
Laverne's Loft,"42 Pasir Panjang Hill, singapore 118894","S$ 1,400,000
  -
  S$ 1,650,000",<20%
Le Hill,"43 Jalan Loyang Besar, singapore 509371","S$ 1,300,000
  -
  S$ 1,550,000",null
Le Loyang,"6 Lorong M Telok Kurau, singapore 425286",null,60%-79%
Le M Residence,"6 Keng Chin Road, singapore 258709",null,40%-59%
Le Marque,"1A Ardmore Park, singapore 259945","S$ 19,214,888
  -
  S$ 28,636,000",null
Le Nouvel Ardmore,"10 Bukit Batok Street 41, singapore 657977","S$ 680,000
  -
  S$ 1,688,888",<20%
Le Quest,"4 Shan Road, singapore 328106","S$ 2,600,000
  -
  S$ 2,600,000",null
Le Shantier,"60 Somme Road, singapore 207876","S$ 830,000
  -
  S$ 1,220,000",60%-79%
Le Somme,"68 Wilkie Road, singapore 228070",null,<20%
Le Wilkie,"2 Leedon Road, singapore 267829","S$ 1,650,000
  -
  S$ 2,500,000",60%-79%
Leedon 2,"32 Leedon Heights, singapore 266075",null,60%-79%
Leedon Green,"12-18 Leedon Heights, singapore 267862","S$ 2,560,000
  -
  S$ 2,560,000",null
Leedon Heights,"6 Leedon Heights, singapore 266215","S$ 2,700,000
  -
  S$ 16,000,000",null
Leedon Residence,"9 Leicester Road, singapore 358843",null,<20%
Leicester Lodge,"10 Leicester Road, singapore 358844","S$ 770,000
  -
  S$ 970,000",40%-59%
Leicester Suites,", singapore 276908","S$ 3,980,000
  -
  S$ 4,600,000",<20%
Leighwoods,"14 Woodsville Close, singapore 357769",null,>80%
Leong Bee Court,"2 Leonie Hill Road, singapore 239192",null,null
Leonie Condotel,"23 Leonie Hill, singapore 239224","S$ 3,300,000
  -
  S$ 5,380,000",null
Leonie Gardens,"14B Nassim Road, singapore 257470","S$ 38,999,888
  -
  S$ 70,000,000",60%-79%
Les Maisons Nassim,"1 Lorong 32 Geylang, singapore 398265",null,null
Leshan Gardens,"55 Lengkong Empat, singapore 417642","S$ 770,000
  -
  S$ 1,100,000",null
Levenue,"437A-443A Bukit Timah Road, singapore 259743",null,<20%
Lew's Mansion,"6A - 6C Robin Drive, singapore 258264",null,null
Lewis Court,"93 LORONG L TELOK KURAU, singapore 425597",null,null
LH Residences,"1 Liang Seah Street, singapore 189022",null,null
