name,Address,sale_price_range,en_bloc_prob
Astridville,"28-28C Jalan Ampang, singapore 268614",null,>80%
Attitude @ Kim Yam,"1 Kim Yam Road, singapore 239319","S$ 790,000
  -
  S$ 1,500,000",null
Aura 83,"83 Duku Road, singapore 429247","S$ 1,230,000
  -
  S$ 2,080,000",<20%
Aura Park,"53 Holland Road, singapore 258859",null,null
Auralis,"587 East Coast Road, singapore 423423","S$ 1,350,000
  -
  S$ 1,588,888",<20%
Austral View,"6 Tanjong Rhu Road, singapore 436883",null,null
Autumn Glory,"1A Rose Lane, singapore 437360",null,null
Avenue South Residence,"1 Silat Avenue, singapore 168872",null,null
Bagnall Court,"811 Upper East Coast Road, singapore 466608",null,>80%
Balcon East,"482 Upper East Coast Road, singapore 466519",null,20%-39%
Balestier 288,"288 Balestier Road, singapore 329731","S$ 1,450,000
  -
  S$ 1,450,000",40%-59%
Balestier Court,"11 Jalan Raja Udang, singapore 329191",null,null
Balmoral Condo,"16 Balmoral Road, singapore 259802",null,null
Balmoral Gardens,"11B Balmoral Road, singapore 259797",null,>80%
Balmoral Gate,"33 Balmoral Road, singapore 259811",null,60%-79%
Balmoral Green,"13 Balmoral Road, singapore 259799",null,null
Balmoral Luck,"6 Balmoral Road, singapore 259787",null,null
Balmoral Park,"9 Balmoral Park, singapore 259844",null,null
Balmoral Place,"20 Balmoral Crescent, singapore 259917",null,40%-59%
Balmoral Plaza,"271 Bukit Timah Road, singapore 259708","S$ 7,000,000
  -
  S$ 7,650,000",>80%
Balmoral Residences,", singapore 259885","S$ 4,200,000
  -
  S$ 5,560,000",40%-59%
Balmoral Tower,"27 Balmoral Road, singapore 259808",null,>80%
Balmoral View,"15 Balmoral Crescent, singapore 259909",null,null
Balmy Court,"6 Lorong 27A Geylang, singapore 388105","S$ 1,120,000
  -
  S$ 1,120,000",60%-79%
Banyan Condo,"1 Chwee Chian Road, singapore 119744",null,null
Bartley Residences,"6 Lorong How Sun, singapore 536500","S$ 738,000
  -
  S$ 2,800,000",<20%
Bartley Ridge,"30 Mount Vernon Road, singapore 368055","S$ 730,000
  -
  S$ 2,398,000",<20%
Bartley Vue,"6 Jalan Bunga Rampai, singapore 538310","S$ 975,000
  -
  S$ 2,600,000",null
Bassein Court,"5 Bassein Road, singapore 309836","S$ 2,728,050
  -
  S$ 2,728,050",>80%
Bayou Residence,", singapore 469967","S$ 1,650,000
  -
  S$ 1,650,000",20%-39%
Bayshore Park,"50 Bayshore Road, singapore 469977","S$ 798,000
  -
  S$ 2,700,000",<20%
Bayville Condo,"42 South Buona Vista Road, singapore 118166","S$ 2,200,000
  -
  S$ 2,200,000",null
Beaufort on Nassim,"12 Nassim Road, singapore 258380","S$ 4,936,800
  -
  S$ 10,869,800",20%-39%
Beauty World Plaza,"140 Upper Bukit Timah Road, singapore 588176",null,>80%
