name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Affinity At Serangoon,"Serangoon North Avenue 1, singapore 550128",null,null,undefined,undefined,0,,
Airstream,"26 St Michael's Road, singapore 327994","S$ 613,000
  -
  S$ 949,999",<20%,1.327326614,103.8640356,99,,
Alba,"8 Cairnhill Rise, singapore 229743","S$ 6,243,000
  -
  S$ 26,588,888",60%-79%,1.307415352,103.8397173,99,,
Aldea Blanca,"474 Upper East Coast Road, singapore 466515",null,null,undefined,undefined,0,,
Alegria Boutique Apartments,"323C thomson road, singapore 307669",null,null,1.324303006,103.8410181,99,,
Alexis,"356 Alexandra Road, singapore 159949","S$ 780,000
  -
  S$ 1,650,000",<20%,1.291133405,103.8073548,99,,
Alpha Apartments,"98 Koon Seng Road, singapore 427037",null,20%-39%,1.311838457,103.9054032,99,,
Altez,"16 Enggor Street, singapore 079717","S$ 1,188,888
  -
  S$ 14,715,930",<20%,1.274617941,103.8443196,99,,
Amber 45,"45 Amber Road, singapore 439886","S$ 1,730,000
  -
  S$ 4,222,000",null,1.302349979,103.9012679,99,,
Amber Sea,"30 Amber Gardens, singapore 439964","S$ 800,000
  -
  S$ 7,852,800",null,1.301585203,103.9005588,99,,
Ampas Apartments,"5 Jalan Ampas, singapore 329506",null,>80%,1.326194872,103.8510668,99,,
Archipelago,"0 Bedok Reservoir Road, singapore 470700","S$ 700,000
  -
  S$ 3,880,000",<20%,undefined,undefined,0,,
Ardmore 3,"3 Ardmore Park, singapore 259950","S$ 5,750,000
  -
  S$ 7,500,000",null,1.308436154,103.8285968,99,,
Ardmore Residence,"7 Ardmore Park, singapore 259954",null,null,1.31007135,103.8285954,99,,
Ardmore View,"6 Ardmore Park, singapore 259949",null,null,1.309587784,103.8276078,99,,
Arena Residences,"20 Guillemard Crescent, singapore 399874","S$ 1,204,999
  -
  S$ 1,888,888",null,undefined,undefined,0,,
Artra,"12 Alexandra View, singapore 158736","S$ 1,600,000
  -
  S$ 2,850,000",null,1.290127655,103.8165523,99,,
Aspen LinQ,"15 Institution Hill, singapore 239669","S$ 988,000
  -
  S$ 1,450,000",<20%,1.29534158,103.8398444,99,,
